candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,80,0.34,President
"BARR, BOB",LIBERTARIAN,138,0.58,President
"MCCAIN, JOHN",REPUBLICAN,11419,48.22,President
"MCKINNEY, CYNTHIA",GREEN,40,0.17,President
"NADER, RALPH",INDEPENDENT,163,0.69,President
"OBAMA, BARACK",DEMOCRAT,11622,49.08,President
NONE OF THESE CANDIDATES,&nbsp;,217,0.92,President
"BERGLAND, CRAIG",GREEN,275,1.19,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,9259,40.04,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,708,3.06,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,12553,54.29,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,327,1.41,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DALTON, STEVEN J.",DEMOCRAT,1423,34.72,"STATE ASSEMBLY, DISTRICT 38"
"GOMEZ, DENNIS",INDEPENDENT AMERICAN,225,5.49,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM (Incumbent)",REPUBLICAN,2451,59.80,"STATE ASSEMBLY, DISTRICT 38"
"LAU, CHERYL",REPUBLICAN,8603,45.67,"STATE ASSEMBLY, DISTRICT 40"
"PARNELL, BONNIE (Incumbent)",DEMOCRAT,9166,48.66,"STATE ASSEMBLY, DISTRICT 40"
"WAGNER, JOHN",INDEPENDENT AMERICAN,1067,5.66,"STATE ASSEMBLY, DISTRICT 40"
"PICKERING, MARY ""KRIS""",NONPARTISAN,9829,44.02,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,9097,40.75,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,3400,15.23,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,4773,21.64,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,13501,61.20,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,3787,17.17,"SUPREME COURT JUSTICE, SEAT D"
"WATERS, NOEL",NONPARTISAN,10317,48.26,"DISTRICT COURT JUDGE, DISTRICT 1, DEPARTMENT 2"
"WILSON, JIM",NONPARTISAN,11060,51.74,"DISTRICT COURT JUDGE, DISTRICT 1, DEPARTMENT 2"
"COOK, DAVE",NONPARTISAN,10821,53.05,"STATE BOARD OF EDUCATION, DISTRICT 9"
"MYERS, BARBARA J.",NONPARTISAN,9578,46.95,"STATE BOARD OF EDUCATION, DISTRICT 9"
"CROWELL, BOB",NONPARTISAN,12644,57.85,MAYOR CARSON CITY
"HASKINS, KEN",NONPARTISAN,9212,42.15,MAYOR CARSON CITY
"ALDEAN, SHELLY",NONPARTISAN,11092,54.20,SUPERVISOR WARD 2
"JOHNSON, DENNIS E.",NONPARTISAN,9374,45.80,SUPERVISOR WARD 2
"STAUB, RICHARD S.",NONPARTISAN,9382,44.23,SUPERVISOR WARD 4
"WALT, MOLLY",NONPARTISAN,11831,55.77,SUPERVISOR WARD 4
"DONNER, KIM",NONPARTISAN,9282,49.94,SCHOOL TRUSTEE DISTRICT 5
"REYNOLDS, STEVEN",NONPARTISAN,9305,50.06,SCHOOL TRUSTEE DISTRICT 5
"SKUDLAREK, EDWARD",NONPARTISAN,6998,36.97,SCHOOL TRUSTEE DISTRICT 7
"WILSON, JOANNA",NONPARTISAN,11931,63.03,SCHOOL TRUSTEE DISTRICT 7
