precinct,office,candidate,votes
East Mason Valley 1,Attorney General (Republican),"Barrick, Travis",69
East Mason Valley 1,Attorney General (Republican),"Hafter, Jacob",65
East Mason Valley 1,Attorney General (Republican),None Of These Candidates,49
East Mason Valley 1,County Comm Dist. 5 (CW) (Republican),"ARELLANO, VIRGIL J.",88
East Mason Valley 1,County Comm Dist. 5 (CW) (Republican),"COSTA, PAUL",53
East Mason Valley 1,County Comm Dist. 5 (CW) (Republican),"THOMPSON, CLIFFORD A.",49
East Mason Valley 1,Governor (Democratic),"Conquest, Frederick L.",27
East Mason Valley 1,Governor (Democratic),None Of These Candidates,23
East Mason Valley 1,Governor (Democratic),"Reid, Rory",40
East Mason Valley 1,Governor (Republican),"Atwood, Tony",1
East Mason Valley 1,Governor (Republican),"GIBBONS, JIM",42
East Mason Valley 1,Governor (Republican),"Lusak, Stanleigh Harold",0
East Mason Valley 1,Governor (Republican),"Montandon, Michael L.",13
East Mason Valley 1,Governor (Republican),None Of These Candidates,5
East Mason Valley 1,Governor (Republican),"Sandoval, Brian",135
East Mason Valley 1,Lieutenant Governor (Democratic),"GOODMAN, Robert E. ""Bob""",10
East Mason Valley 1,Lieutenant Governor (Democratic),"Murad, Paul",11
East Mason Valley 1,Lieutenant Governor (Democratic),None Of These Candidates,8
East Mason Valley 1,Lieutenant Governor (Democratic),"Randazzo, Robert S.",12
East Mason Valley 1,Lieutenant Governor (Democratic),"Sferrazza, Jessica",49
East Mason Valley 1,Lieutenant Governor (Republican),"Krolicki, Brian",145
East Mason Valley 1,Lieutenant Governor (Republican),None Of These Candidates,6
East Mason Valley 1,Lieutenant Governor (Republican),"Woollen, Barbara Lee",41
East Mason Valley 1,Public Administrator (Nonpartisan),"MUNRO, DELORES A.",243
East Mason Valley 1,"School Board Dst Trustee, District 2 - Fernley #2 (Nonpartisan)","MCINTYRE, NEAL E.",240
East Mason Valley 1,"School District Trustee, District 4 - Silver Springs/Stagecoach (Nonpartisan)","SHIRLEY, CHARLES W.",243
East Mason Valley 1,"School District Trustee, District 6 - Dayton #2 (Nonpartisan)","MCCORMICK, THEO",245
East Mason Valley 1,Sheriff - LYON - NP (Nonpartisan),"LUMPKIN, R. MARK",71
East Mason Valley 1,Sheriff - LYON - NP (Nonpartisan),"PALMER, BRETT G.",19
East Mason Valley 1,Sheriff - LYON - NP (Nonpartisan),"VEIL, ALLEN",237
East Mason Valley 1,SOUTH LYON COUNTY Hospital District Trustee (Nonpartisan),"HUNTLEY, SCOTT",239
East Mason Valley 1,SOUTH LYON COUNTY Hospital District Trustee (Nonpartisan),"STRELO-SMITH, CAROLYN",208
East Mason Valley 1,"State Assembly, District 38 (Republican)","GLADWILL, GARY G.",48
East Mason Valley 1,"State Assembly, District 38 (Republican)","GRADY, TOM",145
East Mason Valley 1,"State Board of Education, District 10 (Nonpartisan)","FERRY, CLIFF",242
East Mason Valley 1,State Controller (Republican),"Dagani, Gregory Nance",66
East Mason Valley 1,State Controller (Republican),"Herr, Barry",56
East Mason Valley 1,State Controller (Republican),None Of These Candidates,60
East Mason Valley 1,"State Senate, Capital Senatorial District (Republican)","SETTELMEYER, JAMES ARNOLD",162
East Mason Valley 1,"State Senate, Capital Senatorial District (Republican)","YEATER, STEVE",24
East Mason Valley 1,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Denis ""Sam""",6
East Mason Valley 1,"U.S. Representative in Congress, District 2 (Democratic)","McKenna, Ken",33
East Mason Valley 1,"U.S. Representative in Congress, District 2 (Democratic)","Price, Nancy",45
East Mason Valley 1,"U.S. Representative in Congress, District 2 (Republican)","Colletti, Patrick J.",37
East Mason Valley 1,"U.S. Representative in Congress, District 2 (Republican)","Heller, Dean",155
East Mason Valley 1,U.S. Senate (Democratic),"Hamilton, Eduardo ""Mr. Clean""",10
East Mason Valley 1,U.S. Senate (Democratic),"Miller, Alex",13
East Mason Valley 1,U.S. Senate (Democratic),None Of These Candidates,17
East Mason Valley 1,U.S. Senate (Democratic),"Poliak, Carlo",7
East Mason Valley 1,U.S. Senate (Democratic),"Reid, Harry",47
East Mason Valley 1,U.S. Senate (Republican),"Angle, Sharron",78
East Mason Valley 1,U.S. Senate (Republican),"Bernstein, Gary",1
East Mason Valley 1,U.S. Senate (Republican),"Chachas, John",4
East Mason Valley 1,U.S. Senate (Republican),"Christensen, Chad",0
East Mason Valley 1,U.S. Senate (Republican),"Lowden, Sue",46
