precinct,office,candidate,votes
PRECINCT 1,Attorney General,"Hansen, Jonathan J",21
PRECINCT 1,Attorney General,"Laxalt, Adam Paul",127
PRECINCT 1,Attorney General,"Miller, Ross",83
PRECINCT 1,Attorney General,None Of These Candidates,15
PRECINCT 1,COUNTY ASSESSOR,"GOWEN, CATHERINE ""CAT""",55
PRECINCT 1,COUNTY ASSESSOR,"SEDDON, JANA",186
PRECINCT 1,County Clerk-Treasurer,"STEPHENS, VANESSA",223
PRECINCT 1,County Comm Dist. 2 (CW),"BARDE, NICOLE",89
PRECINCT 1,County Comm Dist. 2 (CW),"MCGUFFEY, JACK",154
PRECINCT 1,COUNTY RECORDER,"CHAPMAN, JEN",222
PRECINCT 1,DISTRICT ATTORNEY,"LANGER, ANNE",216
PRECINCT 1,Governor,"Goodman, Robert ""Bob""",23
PRECINCT 1,Governor,None Of These Candidates,5
PRECINCT 1,Governor,"Sandoval, Brian",203
PRECINCT 1,Governor,"VanDerBeek, David Lory",15
PRECINCT 1,Lieutenant Governor,"Flores, Lucy",57
PRECINCT 1,Lieutenant Governor,"Hutchison, Mark",154
PRECINCT 1,Lieutenant Governor,"Little, Mike",22
PRECINCT 1,Lieutenant Governor,None Of These Candidates,11
PRECINCT 1,School Board Trustee Seat 1A,"GLADDING, GIL",109
PRECINCT 1,School Board Trustee Seat 1A,"HALL, DAN",32
PRECINCT 1,School Board Trustee Seat 1A,"SNELL, SHARON",85
PRECINCT 1,School Board Trustee Seat 2B,"FIELD, RONALD",110
PRECINCT 1,School Board Trustee Seat 2B,"MILLER, DAWN",107
PRECINCT 1,Secretary Of State,"Cegavske, Barbara K",118
PRECINCT 1,Secretary Of State,"Marshall, Kate",106
PRECINCT 1,Secretary Of State,None Of These Candidates,23
PRECINCT 1,Sheriff,"ANTINORO, GERALD",109
PRECINCT 1,Sheriff,"MAHAN, SHAWN P.",135
PRECINCT 1,"State Assembly, District 39","GIORDANO, AL",58
PRECINCT 1,"State Assembly, District 39","Wheeler, Jim",175
PRECINCT 1,State Controller,"Jones, Tom",30
PRECINCT 1,State Controller,"Knecht, Ron",141
PRECINCT 1,State Controller,"Martin, Andrew",50
PRECINCT 1,State Controller,None Of These Candidates,23
PRECINCT 1,"State Senate, District 17","SETTELMEYER, JAMES A.",213
PRECINCT 1,State Treasurer,"Cave, Kress K",33
PRECINCT 1,State Treasurer,None Of These Candidates,16
PRECINCT 1,State Treasurer,"Schwartz, Dan",126
PRECINCT 1,State Treasurer,"Wallin, Kim",66
PRECINCT 1,"Supreme Court Justice, Seat B",None Of These Candidates,52
PRECINCT 1,"Supreme Court Justice, Seat B","Pickering, Kristina",171
PRECINCT 1,"Supreme Court Justice, Seat D","Gibbons, Mark",178
PRECINCT 1,"Supreme Court Justice, Seat D",None Of These Candidates,45
PRECINCT 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",183
PRECINCT 1,"U.S. Representative in Congress, District 2","HANSEN, JANINE",29
PRECINCT 1,"U.S. Representative in Congress, District 2","Spees, Kristen",34
PRECINCT 10,Attorney General,"Hansen, Jonathan J",0
PRECINCT 10,Attorney General,"Laxalt, Adam Paul",0
PRECINCT 10,Attorney General,"Miller, Ross",0
PRECINCT 10,Attorney General,None Of These Candidates,0
PRECINCT 10,COUNTY ASSESSOR,"GOWEN, CATHERINE ""CAT""",0
PRECINCT 10,COUNTY ASSESSOR,"SEDDON, JANA",0
PRECINCT 10,County Clerk-Treasurer,"STEPHENS, VANESSA",0
PRECINCT 10,County Comm Dist. 2 (CW),"BARDE, NICOLE",0
PRECINCT 10,County Comm Dist. 2 (CW),"MCGUFFEY, JACK",0
PRECINCT 10,COUNTY RECORDER,"CHAPMAN, JEN",0
PRECINCT 10,DISTRICT ATTORNEY,"LANGER, ANNE",0
PRECINCT 10,Governor,"Goodman, Robert ""Bob""",0
PRECINCT 10,Governor,None Of These Candidates,0
PRECINCT 10,Governor,"Sandoval, Brian",0
PRECINCT 10,Governor,"VanDerBeek, David Lory",0
PRECINCT 10,Lieutenant Governor,"Flores, Lucy",0
PRECINCT 10,Lieutenant Governor,"Hutchison, Mark",0
PRECINCT 10,Lieutenant Governor,"Little, Mike",0
PRECINCT 10,Lieutenant Governor,None Of These Candidates,0
PRECINCT 10,School Board Trustee Seat 1A,"GLADDING, GIL",0
PRECINCT 10,School Board Trustee Seat 1A,"HALL, DAN",0
PRECINCT 10,School Board Trustee Seat 1A,"SNELL, SHARON",0
PRECINCT 10,School Board Trustee Seat 2B,"FIELD, RONALD",0
PRECINCT 10,School Board Trustee Seat 2B,"MILLER, DAWN",0
PRECINCT 10,Secretary Of State,"Cegavske, Barbara K",0
PRECINCT 10,Secretary Of State,"Marshall, Kate",0
PRECINCT 10,Secretary Of State,None Of These Candidates,0
PRECINCT 10,Sheriff,"ANTINORO, GERALD",0
PRECINCT 10,Sheriff,"MAHAN, SHAWN P.",0
PRECINCT 10,"State Assembly, District 39","GIORDANO, AL",0
PRECINCT 10,"State Assembly, District 39","Wheeler, Jim",0
PRECINCT 10,State Controller,"Jones, Tom",0
PRECINCT 10,State Controller,"Knecht, Ron",0
PRECINCT 10,State Controller,"Martin, Andrew",0
PRECINCT 10,State Controller,None Of These Candidates,0
PRECINCT 10,"State Senate, District 17","SETTELMEYER, JAMES A.",0
PRECINCT 10,State Treasurer,"Cave, Kress K",0
PRECINCT 10,State Treasurer,None Of These Candidates,0
PRECINCT 10,State Treasurer,"Schwartz, Dan",0
PRECINCT 10,State Treasurer,"Wallin, Kim",0
PRECINCT 10,"Supreme Court Justice, Seat B",None Of These Candidates,0
PRECINCT 10,"Supreme Court Justice, Seat B","Pickering, Kristina",0
PRECINCT 10,"Supreme Court Justice, Seat D","Gibbons, Mark",0
PRECINCT 10,"Supreme Court Justice, Seat D",None Of These Candidates,0
PRECINCT 10,"U.S. Representative in Congress, District 2","Amodei, Mark E.",0
PRECINCT 10,"U.S. Representative in Congress, District 2","HANSEN, JANINE",0
PRECINCT 10,"U.S. Representative in Congress, District 2","Spees, Kristen",0
PRECINCT 11,Attorney General,"Hansen, Jonathan J",
PRECINCT 11,Attorney General,"Laxalt, Adam Paul",
PRECINCT 11,Attorney General,"Miller, Ross",
PRECINCT 11,Attorney General,None Of These Candidates,
PRECINCT 11,COUNTY ASSESSOR,"GOWEN, CATHERINE ""CAT""",
PRECINCT 11,COUNTY ASSESSOR,"SEDDON, JANA",
PRECINCT 11,County Clerk-Treasurer,"STEPHENS, VANESSA",
PRECINCT 11,County Comm Dist. 2 (CW),"BARDE, NICOLE",
PRECINCT 11,County Comm Dist. 2 (CW),"MCGUFFEY, JACK",
PRECINCT 11,COUNTY RECORDER,"CHAPMAN, JEN",
PRECINCT 11,DISTRICT ATTORNEY,"LANGER, ANNE",
PRECINCT 11,Governor,"Goodman, Robert ""Bob""",
PRECINCT 11,Governor,None Of These Candidates,
PRECINCT 11,Governor,"Sandoval, Brian",
PRECINCT 11,Governor,"VanDerBeek, David Lory",
PRECINCT 11,Lieutenant Governor,"Flores, Lucy",
PRECINCT 11,Lieutenant Governor,"Hutchison, Mark",
PRECINCT 11,Lieutenant Governor,"Little, Mike",
PRECINCT 11,Lieutenant Governor,None Of These Candidates,
PRECINCT 11,School Board Trustee Seat 1A,"GLADDING, GIL",
